Date,Open,High,Low,Close
2023-06-27,3795.0,3815.0,3740.0,3751.0
2023-06-28,3710.0,3757.0,3697.0,3740.0
2023-06-29,3714.0,3740.0,3688.0,3736.0
2023-06-30,3723.0,3778.0,3704.0,3756.0
2023-07-03,3756.0,3965.0,3746.0,3965.0
2023-07-04,4030.0,4030.0,3926.0,3977.0
2023-07-05,3972.0,4018.0,3958.0,3991.0
2023-07-06,3989.0,4005.0,3940.0,3985.0
2023-07-07,3974.0,3987.0,3945.0,3967.0
2023-07-10,3959.0,3977.0,3898.0,3975.0
2023-07-11,3990.0,4045.0,3984.0,3994.0
2023-07-12,4015.0,4071.0,3983.0,4051.0
2023-07-13,4060.0,4096.0,3972.0,4020.0
2023-07-14,4035.0,4095.0,4022.0,4023.0
2023-07-17,4050.0,4089.0,4030.0,4064.0
2023-07-18,4084.0,4111.0,4056.0,4068.0
2023-07-19,4097.0,4158.0,4088.0,4155.0
2023-07-20,4192.0,4230.0,4157.0,4188.0
2023-07-21,4181.0,4185.0,4138.0,4156.0
2023-07-24,4140.0,4208.0,4137.0,4164.0
2023-07-25,4190.0,4258.0,4175.0,4236.0
2023-07-26,4217.0,4273.0,4211.0,4270.0
2023-07-27,4267.0,4374.0,4261.0,4311.0
2023-07-28,4314.0,4346.0,4266.0,4274.0
2023-07-31,4262.0,4277.0,4195.0,4253.0
2023-08-01,4246.0,4314.0,4246.0,4311.0
2023-08-02,4297.0,4353.0,4284.0,4339.0
2023-08-03,4308.0,4342.0,4279.0,4322.0
2023-08-04,4325.0,4358.0,4317.0,4349.0
2023-08-07,4352.0,4387.0,4321.0,4372.0
2023-08-08,4363.0,4389.0,4332.0,4371.0
2023-08-09,4358.0,4466.0,4345.0,4426.0
2023-08-10,4427.0,4491.0,4413.0,4488.0
2023-08-11,4489.0,4514.0,4445.0,4487.0
2023-08-14,4474.0,4512.0,4445.0,4509.0
2023-08-15,4512.0,4563.0,4499.0,4553.0
2023-08-16,4541.0,4575.0,4521.0,4569.0
2023-08-17,4575.0,4702.0,4567.0,4689.0
2023-08-18,4665.0,4771.0,4665.0,4761.0
2023-08-21,4462.0,4652.0,4461.0,4646.0
2023-08-22,4660.0,4660.0,4531.0,4548.0
2023-08-23,4574.0,4605.0,4466.0,4473.0
2023-08-24,4475.0,4506.0,4441.0,4461.0
2023-08-25,4461.0,4628.0,4448.0,4584.0
2023-08-28,4599.0,4712.0,4569.0,4629.0
2023-08-29,4636.0,4698.0,4627.0,4656.0
2023-08-30,4637.0,4660.0,4600.0,4641.0
2023-08-31,4654.0,4680.0,4627.0,4645.0
2023-09-01,4650.0,4655.0,4563.0,4607.0
2023-09-04,4610.0,4626.0,4512.0,4521.0
2023-09-05,4521.0,4586.0,4515.0,4545.0
2023-09-06,4550.0,4604.0,4535.0,4592.0
2023-09-07,4601.0,4626.0,4565.0,4579.0
